
name                                           count
----                                           -----
_                                                  3
_arena                                             9
_arena_resolution_tween                           11
_arena_theme_payload                               4
_bet_buttons                                       7
_bet_confirm_default_text                          3
_bet_modal_fade_tween                              5
_bet_select_buttons_by_id                          5
_bet_signature_buttons_by_id                       4
_bets_by_id                                        4
_betting_overlay_hud_visibility_cached             3
_betting_overlay_hud_visible_before                2
_betting_overlay_theme_subtitle_visible_before     2
_betting_overlay_theme_title_visible_before        2
_betting_overlay_theme_visibility_cached           3
_controls_first_run_active                         4
_current_bet_offer                                 4
_current_modal                                     8
_debug_label                                       2
_debug_overlay                                    12
_debug_run_log                                     4
_debug_scars                                       2
_debug_seed                                        2
_debug_special_arena                               2
_ending_mode_active                                4
_escalation_level                                  3
_escalation_max                                    2
_fast_countdown_active                             6
_game_over_modal_fade_tween                        5
_glory                                             2
_has_seen_controls                                 5
_intermediate_choice_modal_fade_tween              5
_is_signing                                        4
_last_ending_icon_path                             6
_last_finale_ending_id                             6
_last_finale_hint                                  6
_last_finale_scars                                 6
_last_finale_seed                                  4
_last_finale_stats                                 4
_last_finale_text                                  6
_last_finale_title                                 9
_last_next_bet_enabled                             6
_last_register_ending_key                          5
_last_register_final                               6
_last_register_message                             6
_last_ritual_outcome_snapshot                      2
_last_verdict_condanne                             3
_last_verdict_crowd_line                           4
_last_verdict_outcome                              3
_last_verdict_pacts                                3
_last_verdict_sentence                             2
_lbl_intro_body                                    2
_lbl_intro_body_stake                              2
_lbl_intro_footer                                  2
_lbl_intro_subtitle                                2
_lbl_intro_title                                   2
_pact_sealed_modal_fade_tween                      5
_pending_bets                                      2
_phase_node_map                                    8
_player                                            4
_push_luck_modal_fade_tween                        5
_pyl_lock_feedback_tween                          12
_pyl_locked                                        8
_pyl_locked_buttons                                4
_quick_cut_tween                                   3
_register_annotation_tween                        11
_resolve_ritual_modal_fade_tween                   5
_run_manager_port                                 19
_scar_popup_tween                                 13
_scars_detail_text                                 4
_selected_bet_id                                  10
_sentence_banner_sequence_id                       3
_sign_feedback_buttons                             4
_sign_feedback_panel                              11
_sign_feedback_tween                              21
_special_arena_payload                             8
arena_resolution_label                            10
arena_resolution_panel                             8
arena_theme_subtitle_label                         6
arena_theme_subtitle_panel                        14
arena_theme_title_label                            6
arena_theme_title_panel                           14
audience_context_label                             3
audience_context_panel                             2
bet_badge_value_label                              4
bet_buttons_container                              5
bet_confirm_button                                 7
bet_confirm_label                                  2
bet_confirm_row                                    2
bet_id_variant                                     4
bet_modal                                         10
bet_panel                                         11
bet_value                                          4
betting_circle                                    12
boot_fail_body                                     2
boot_fail_button                                   3
boot_fail_overlay                                  2
coins_label                                        5
condanna_focus_label                              10
controls_hint_panel                                9
countdown_label                                    5
countdown_panel                                    4
create_tween                                      11
debug_copy_log_button                              3
debug_restart_button                               3
debug_seed_button                                  3
debug_seed_input                                   2
debug_skip_button                                  3
debug_tools_panel                                  3
ending_background                                  4
ending_text                                        4
escalation_bar                                     7
fast_blink_timer                                   9
fast_countdown_label                              16
fast_countdown_panel                               8
game_over_modal                                    9
game_over_panel                                   11
game_over_scroll                                   2
get_node_or_null                                   8
get_tree                                          12
get_viewport                                       8
glory_value_label                                  2
has_node                                           2
hud_root                                           7
hud_top_left_stats_box                             5
intermediate_choice_audience_label                 3
intermediate_choice_label                          5
intermediate_choice_modal                          7
intermediate_choice_panel                          8
intermediate_choice_placa_button                  12
intermediate_choice_provoca_button                12
intro_select_fast_button                           3
intro_select_win_button                            3
is_instance_valid                                  3
mapped_phase_key                                   2
modal_dimmer                                      13
modals_root                                        8
next_bet_button                                   22
node_path                                          3
pact_sealed_modal                                  8
pact_sealed_panel                                  4
pact_sealed_subtitle                               4
pact_sealed_title                                  4
phase_key                                          2
print_debug                                        6
process_mode                                       2
push_error                                        14
push_luck_audience_label                           3
push_luck_audience_reason                          7
push_luck_cashout_button                          10
push_luck_cashout_note                             4
push_luck_condanna_button                          6
push_luck_details                                  2
push_luck_double_button                           10
push_luck_double_note                              4
push_luck_info                                     2
push_luck_modal                                    7
push_luck_panel                                   28
push_luck_title                                    2
push_warning                                       2
quick_cut_blocker                                  6
quick_cut_label                                   15
quick_cut_label_panel                              7
quick_cut_shade                                    2
quit_button                                        9
register_annotation_label                          2
register_blocker                                   7
resolve_ritual_modal                               7
resolve_ritual_panel                               4
resolve_ritual_subtitle                            2
resolve_ritual_title                               2
restart_button                                    11
run_safe_margin                                    2
scar_popup                                         2
scar_popup_panel                                  12
scars_detail_close                                 3
scars_detail_panel                                10
scars_detail_text                                  2
scars_label                                        5
scars_panel                                       16
seed_apply_button                                  3
seed_input                                         2
sentence_banner                                    4
sentence_doom_label                                2
sentence_rule_label                                2
sentence_title_label                               2
silence_overlay                                    5
special_arena_label                               11
stake_input                                        3
stake_row                                          2
torch_flicker_overlay                              6
torch_flicker_player                               5
verdict_charge_label                               4
verdict_condanne_text                              3
verdict_crowd_section                              4
verdict_crowd_text                                 2
verdict_header                                     6
verdict_icon                                       8
verdict_outcome                                    7
verdict_pacts_text                                 3
verdict_sections                                   2
verdict_sentence_label                             6



