keys,en
"CONTINUA","Continue"
"Nessuna partita salvata.","No saved game."
"NUOVA PARTITA","New Game"
"CARICA PARTITA","Load Game"
"ARCHIVIO","Archive"
"IMPOSTAZIONI","Settings"
"CREDITI","Credits"
"INDIETRO","Back"
"ARCHIVIO DELLE CONDANNE","Archive of Sentences"
"Registro consultivo. Nessuna ricompensa.","Consultation log. No rewards."
"CONDANNE","Sentences"
"MUSEO","Museum"
"PATTI DISPONIBILI (LIVELLO 3)","Available Pacts (Level 3)"
"— Nessun patto disponibile.","— No pacts available."
"ARENE TEMATICHE","Themed Arenas"
"— Nessuna arena disponibile.","— No arenas available."
"VOCI DEL PUBBLICO","Crowd Lines"
"Voci base: %d","Base lines: %d"
"Voci dure: %s","Harsh lines: %s"
"SBLOCCATE","Unlocked"
"BLOCCATE","Locked"
"LUMINOSITÀ","Brightness"
"Luminosità: %.2f","Brightness: %.2f"
"LINGUA","Language"
"Lingua selezionata: %s","Selected language: %s"
"VOLUME MASTER","Master Volume"
"Volume: %d%%","Volume: %d%%"
"Fullscreen","Fullscreen"
"Italiano","Italian"
"English","English"
