keys,es
"CONTINUA","CONTINUAR"
"Nessuna partita salvata.","No hay partida guardada."
"NUOVA PARTITA","NUEVA PARTIDA"
"CARICA PARTITA","CARGAR PARTIDA"
"ARCHIVIO","ARCHIVO"
"OPZIONI","OPCIONES"
"CREDITI","CREDITOS"
"ARCHIVIO DELLE CONDANNE","ARCHIVO DE CONDENAS"
"Registro consultivo. Nessuna ricompensa.","Registro consultivo. Sin recompensa."
"CONDANNE","CONDENAS"
"MUSEO","MUSEO"
"PATTI DISPONIBILI (LIVELLO 3)","PACTOS DISPONIBLES (NIVEL 3)"
"- Nessun patto disponibile.","- Ningun pacto disponible."
"ARENE TEMATICHE","ARENAS TEMATICAS"
"- Nessuna arena disponibile.","- Ninguna arena disponible."
"VOCI DEL PUBBLICO","VOCES DEL PUBLICO"
"Voci base: %d","Voces base: %d"
"Voci dure: %s","Voces duras: %s"
"SBLOCCATE","DESBLOQUEADAS"
"BLOCCATE","BLOQUEADAS"
"LUMINOSITA","BRILLO"
"Luminosita: %.2f","Brillo: %.2f"
"LINGUA","IDIOMA"
"Lingua selezionata: %s","Idioma seleccionado: %s"
"VOLUME MASTER","VOLUMEN GENERAL"
"VOLUME MUSICA","VOLUMEN MUSICA"
"SCHERMO INTERO","PANTALLA COMPLETA"
"RISOLUZIONE","RESOLUCION"
"Risoluzione: %s","Resolucion: %s"
"Volume: %d%%","Volumen: %d%%"
"Musica: %d%%","Musica: %d%%"
"Italiano","Italiano"
"English","Ingles"
"Espanol","Espanol"
"GALLICUS","GALLICUS"
"ACTA ARENAE","ACTA ARENAE"
"Game: Gallicus\nDesign/Direction: (TBD)\nCode: (TBD)\nArt: (TBD)\nAudio: (TBD)\nSpecial Thanks: (TBD)","Juego: Gallicus\nDiseno/Direccion: (TBD)\nCodigo: (TBD)\nArte: (TBD)\nAudio: (TBD)\nAgradecimientos: (TBD)"
"Luminosita: 1.00","Brillo: 1.00"
"(Placeholder)","(Placeholder)"
"Lingua selezionata: Italiano","Idioma seleccionado: Italiano"
"Volume: 100%","Volumen: 100%"
"SCOMMESSA","APUESTA"
"-","-"
"ESCALATION","ESCALADA"
"CICATRICE APPLICATA","CICATRIZ APLICADA"
"Il patto viene giudicato...","El pacto esta siendo juzgado..."
"La folla ti guarda.","La multitud te observa."
"Registro: atto annotato.","Registro: acto anotado."
"Arena del Sigillo","Arena del Sello"
"Qui ogni firma pesa.","Aqui cada firma pesa."
"SENTENZA","SENTENCIA"
"VINCI","GANA"
"SE FALLISCI: LA CICATRICE TI RESTA.","SI FALLAS: LA CICATRIZ PERMANECE."
"Flow debug overlay","Flow debug overlay"
"IL PATTO E' SIGILLATO.","EL PACTO ESTA SELLADO."
"La folla trattiene il fiato.","La multitud contiene el aliento."
"RITO DI GIUDIZIO","RITO DE JUICIO"
"Il patto viene giudicato.","El pacto es juzgado."
"SCEGLI IL GESTO","ELIGE EL GESTO"
"UMILIATI","HUMILLATE"
"PROVOCA","PROVOCA"
"Scommessa Arena","Apuesta de Arena"
"ARENA SPECIALE","ARENA ESPECIAL"
"FOCUS: Leggi prima la CONDANNA.","FOCO: Lee primero la SENTENCIA."
"Seed (opzionale)","Semilla (opcional)"
"Es. 10331","Ej. 10331"
"APPLICA","APLICAR"
"Stake","Apuesta"
"CONDANNA - RADDOPPI O MUORI","SENTENCIA - DOBLA O MUERE"
"CONDIZIONE - SANGUE INTEGRO","CONDICION - SANGRE INTACTA"
"PATTO - INCASSA E VAI","PACTO - COBRA Y SIGUE"
"Selezione: -","Seleccion: -"
"SIGILLA","SELLAR"
"Disponibile dopo l'arena in corso.","Disponible tras la arena actual."
"x1","x1"
"PUSH YOUR LUCK","TIENTA LA SUERTE"
"Incassa ora o raddoppia il rischio","Cobra ahora o dobla el riesgo"
"INCASSA ORA","COBRA AHORA"
"CONDANNA","SENTENCIA"
"NESSUN REWARD","SIN RECOMPENSA"
"RADDOPPIA","DOBLA"
"DETTAGLIO CICATRICI","DETALLE DE CICATRICES"
"CHIUDI","CERRAR"
"VERDETTO","VEREDICTO"
"PATTI FIRMATI","PACTOS FIRMADOS"
"ULTIMA VOCE","ULTIMA VOZ"
"NUOVA RUN","NUEVA RUN"
"NEXT BET","SIGUIENTE APUESTA"
"PROSSIMA SCOMMESSA","SIGUIENTE APUESTA"
"TORNA AL MENU","VOLVER AL MENU"
"FAST: 12s","RAPIDO: 12s"
"CICATRICI","CICATRICES"
"Nessuna cicatrice.","Ninguna cicatriz."
"CIRCOLO SCOMMESSE","CIRCULO DE APUESTAS"
"INCASSA E VAI","COBRA Y SIGUE"
"CONDANNA: ...","SENTENCIA: ..."
"CONDIZIONE: ...","CONDICION: ..."
"PATTO: ...","PACTO: ..."
"SANGUE INTEGRO","SANGRE INTACTA"
"RADDOPPI O MUORI","DOBLA O MUERE"
