path	type	family	size_bytes	sha256	reference_count
UI Official/Background boxes/BGbox_01A.png	.png	UI	544	45f26e8cf6d47ccdd1c9a61d2ce0eacd12fc58afd45b17a686dc287ea45f8cd1	0
UI Official/Background boxes/BGbox_01B.png	.png	UI	533	79e6f271d0bc4c04ec5a07616777332f37b1ff08dfe2eecd08dd995ababe7807	0
UI Official/Background boxes/BGbox_01C.png	.png	UI	554	38bcd23290bc335799056de261cea2d1957790d3940c08c7a1e9cf565c85fb0a	0
UI Official/Background boxes/BGbox_02A.png	.png	UI	465	6d94762f60b6c7bfcf29a13089ce5696eb7b9ad4b59b8532796f386ac62b9279	1
UI Official/Background boxes/BGbox_02B.png	.png	UI	473	c8cda950f5b513b612e131ffd2ad9e980fba6777a1926197ff7768900a2c4053	0
UI Official/Background boxes/BGbox_03A.png	.png	UI	750	4ea8829c0fcbe20912cc7e1e0a355fb62e8e9227f4b553731b24f5ad0de6ab65	0
UI Official/Background boxes/BGbox_04A.png	.png	UI	667	7f245222795b7b85cb2eb6645ef41b5721ca2aca886b2057b882ef27d46bb19e	0
UI Official/Background boxes/BGbox_04B.png	.png	UI	689	f0e34e809ca1a11dd7bfbf002b2bd1cc4193b28a1e4fc0e7f4fcdc223a93e074	0
UI Official/Background boxes/BGbox_04C.png	.png	UI	679	d6cf0a37b1c225de2616c6fc5e5b21b38e87a19b608f952a16d00f84130d2458	0
UI Official/Background boxes/BGbox_05A.png	.png	UI	499	ee0a431b7aaa28a8da534b4d0e6e4d72bb1a3530d5a113f450a983fe538d7b6c	0
UI Official/Background boxes/BGbox_06A.png	.png	UI	662	199346d7a6373afc8aa380d7b4fbba3079cae123013159b4d12ff0987fce600d	0
UI Official/Background boxes/BGbox_07A.png	.png	UI	1007	d22f045d70a660d6d6a6444c3bc636da623c7cdc7aea82048b9924d8a936b8a8	0
UI Official/Background boxes/BGbox_08A.png	.png	UI	394	df32c846ea8830595e6d65f177ab56eeda2a4d1c07129499219caa2d98229c9c	0
UI Official/Buttons1/Button_01A_Normal.png	.png	UI	276	894dde3be85083b1e739ab6fe1e0ad7ba3c420bd1a6cecba36cba1f57a69f7a8	0
UI Official/Buttons1/Button_01A_Pressed.png	.png	UI	292	cfcb2d11abe08959efa6f78ca5a81ea558181f8a25dbfee582bb10d11a179f57	0
